"","bcdist","ward.D2","complete","CST"
"W0002","1","1","1","III"
"W0006","2","2","2","IV-B"
"W0008","2","2","2","IV-B"
"W0008-sg","2","2","2","IV-B"
"W0012","1","1","1","III"
"W0013","3","3","2","IV-C"
"W0014","2","2","2","IV-B"
"W0015","1","1","1","III"
"W0015-sg","1","1","1","III"
"W0037","1","1","1","III"
"W0038","2","2","2","IV-B"
"W0039","2","3","2","IV-B"
"W0045","2","2","2","IV-B"
"W0046-1","1","1","1","III"
"W0046-2","2","2","2","IV-B"
"W0048","2","2","2","IV-B"
"W0052","2","2","2","IV-B"
"W0053","1","1","1","III"
"W0057","1","1","1","III"
"W0062","2","2","2","IV-B"
"W0068","1","1","1","IV-B"
"W0078","1","1","1","III"
"W0082","2","2","2","IV-B"
"W0096","3","3","3","IV-C"
"W0096-sg","3","3","3","IV-C"
"W0097","2","2","2","IV-B"
"W0122","3","3","3","IV-C"
